City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,whitehorse,60.7161,-135.0538,-9.95,90,100,3.6,CA,1702176298
83,acajutla,13.5928,-89.8275,26.51,73,80,3.19,SV,1702176567
84,port elizabeth,-33.918,25.5701,13.94,87,0,2.57,ZA,1702176320
85,tolanaro,-25.0319,46.9987,22.04,88,20,5.14,MG,1702176300
86,sal rei,16.1833,-22.9167,24.54,76,0,3.89,CV,1702176567
87,adam,22.3756,57.5233,16.47,68,10,0.95,OM,1702176567
88,ulladulla,-35.35,150.4667,24.87,89,100,3.05,AU,1702176567
89,chak two hundred forty-nine thal development authority,31.1796,71.2095,14.92,34,11,0.8,PK,1702176568
90,vilyuchinsk,52.9306,158.4028,1.07,98,100,8.45,RU,1702176311
91,atafu village,-8.5421,-172.5159,29.21,75,99,4.14,TK,1702176568
92,antsiranana,-12.2787,49.2917,25.79,84,97,6.38,MG,1702176568
93,saipan,15.1355,145.701,30.39,70,40,7.2,MP,1702176350
94,astrakhan,46.3497,48.0408,-3.07,80,75,9.0,RU,1702176568
95,dakhla,23.6848,-15.958,20.59,57,94,4.93,EH,1702176568
96,polyarnyy,69.1989,33.4478,-14.08,94,65,7.12,RU,1702176389
97,glace bay,46.1969,-59.957,-0.62,93,20,2.06,CA,1702176326
98,utrik,11.2278,169.8474,27.29,80,64,8.39,MH,1702176332
99,vila franca do campo,37.7167,-25.4333,18.27,99,100,6.93,PT,1702176569
100,manokwari,-0.8667,134.0833,28.96,73,88,3.98,ID,1702176569
101,hawaiian paradise park,19.5933,-154.9731,26.73,84,0,3.6,US,1702176298
102,buenavista,8.9769,125.4089,30.18,63,84,1.21,PH,1702176569
103,kodiak,57.79,-152.4072,-7.27,73,0,2.57,US,1702176201
104,mezhova,48.2532,36.7347,0.55,88,100,5.2,UA,1702176569
105,st. john's,47.5649,-52.7093,2.1,87,75,10.8,CA,1702176260
106,avarua,-21.2078,-159.775,26.03,83,100,10.29,CK,1702176311
107,prince albert,53.2001,-105.7677,-11.03,85,0,4.12,CA,1702176569
108,itaituba,-4.2761,-55.9836,23.9,98,92,1.01,BR,1702176569
109,namtsy,62.7161,129.6658,-32.22,98,100,1.78,RU,1702176570
110,badger,64.8,-147.5333,-24.24,75,20,0.0,US,1702176299
111,oltinko'l,40.8011,72.1634,2.75,75,57,0.9,UZ,1702176570
112,apolinario saravia,-24.4328,-63.9954,24.19,80,82,3.19,AR,1702176570
113,polyarnyye zori,67.3661,32.4981,-14.63,96,100,1.67,RU,1702176570
114,robore,-18.3333,-59.75,26.28,64,82,1.77,BO,1702176570
115,pasuquin,18.3328,120.6177,29.97,79,40,3.09,PH,1702176335
116,hlukhiv,51.6782,33.9162,-4.34,97,99,2.29,UA,1702176571
117,porto seguro,-16.4497,-39.0647,26.29,89,20,1.54,BR,1702176571
118,kolonia town,6.964,158.206,30.06,79,100,5.14,FM,1702176571
119,malanje,-9.5402,16.341,16.24,99,99,1.19,AO,1702176571
120,'ain deheb,34.8422,1.547,6.57,75,18,2.51,DZ,1702176571
121,collie,-33.3667,116.15,25.38,17,0,4.36,AU,1702176571
122,port douglas,-16.4833,145.4667,28.33,65,68,5.78,AU,1702176297
123,yellowknife,62.456,-114.3525,-9.71,85,100,6.17,CA,1702176296
124,khovd,48.0056,91.6419,-16.31,79,7,1.19,MN,1702176572
125,anadyr,64.75,177.4833,-25.72,76,0,4.0,RU,1702176291
126,saint-tropez,43.2693,6.6398,15.9,65,0,12.43,FR,1702176572
127,saint-pierre,-21.3393,55.4781,25.32,69,0,3.09,RE,1702176362
128,umm kaddadah,13.6017,26.6876,17.41,17,58,3.42,SD,1702176295
129,alice town,25.7167,-79.3,25.34,66,97,8.12,BS,1702176572
130,ishinomaki,38.4167,141.3,16.0,71,69,7.05,JP,1702176572
131,sheridan,44.8333,-106.9173,-6.79,73,0,2.57,US,1702176390
132,ancud,-41.8697,-73.8203,10.74,94,70,1.86,CL,1702176304
133,ushuaia,-54.8,-68.3,7.81,81,20,6.17,AR,1702176291
134,prince george,53.9166,-122.753,-0.31,93,100,9.26,CA,1702176525
135,bailesti,44.0167,23.35,1.14,83,100,1.67,RO,1702176572
136,hamilton,39.1834,-84.5333,11.16,92,100,4.12,US,1702176171
137,selfoss,63.9331,-20.9971,-6.09,67,14,3.36,IS,1702176290
138,kedougou,12.5579,-12.1743,23.42,18,90,1.08,SN,1702176573
139,cangucu,-31.395,-52.6756,14.89,89,78,4.48,BR,1702176573
140,crane,31.3974,-102.3501,6.54,42,0,6.62,US,1702176338
141,al karamah,31.9522,35.5792,17.21,58,22,2.1,JO,1702176573
142,iskateley,67.6803,53.1512,-27.21,92,12,2.68,RU,1702176357
143,tchintabaraden,15.8969,5.7985,19.33,17,10,2.77,NE,1702176573
144,hohhot,40.8106,111.6522,1.16,34,0,6.0,CN,1702176573
145,zimovniki,47.1483,42.4633,-0.72,90,100,7.72,RU,1702176573
146,hadibu,12.65,54.0333,24.63,75,57,5.19,YE,1702176292
147,orapa,-21.2833,25.3667,21.11,76,100,4.08,BW,1702176574
148,la'ie,21.6477,-157.9253,27.98,69,1,1.34,US,1702176574
149,hermanus,-34.4187,19.2345,16.16,81,26,3.94,ZA,1702176297
150,vallegrande,-18.4897,-64.1069,14.7,94,94,1.69,BO,1702176574
151,happy valley-goose bay,53.3168,-60.3315,-9.83,67,20,3.6,CA,1702176574
152,woodward,36.4337,-99.3904,2.2,46,0,3.6,US,1702176574
153,zemio,5.0314,25.1361,20.14,62,9,0.68,CF,1702176574
154,dazhou,31.2159,107.5009,15.25,71,100,1.09,CN,1702176574
155,carauari,-4.8828,-66.8958,24.25,97,100,1.03,BR,1702176574
156,gadzhiyevo,69.2551,33.3362,-14.81,95,58,6.94,RU,1702176349
157,i-n-salah,27.1935,2.4607,12.13,37,0,4.18,DZ,1702176575
158,richards bay,-28.783,32.0377,20.93,95,100,4.86,ZA,1702176339
159,fort bragg,35.139,-79.006,18.32,82,75,2.06,US,1702176290
160,presidencia de la plaza,-27.0015,-59.8424,21.68,89,99,2.89,AR,1702176501
161,colonia,50.9333,6.95,10.54,67,75,9.26,DE,1702176575
162,aasiaat,68.7098,-52.8699,-12.58,87,100,3.48,GL,1702176294
163,"laikit, laikit ii (dimembe)",1.4792,124.9735,29.47,70,40,2.06,ID,1702176575
164,sosnovo-ozerskoye,52.5249,111.5418,-26.48,92,63,4.35,RU,1702176575
165,acapulco de juarez,16.8634,-99.8901,27.9,78,100,1.54,MX,1702176303
166,pismo beach,35.1428,-120.6413,14.75,59,38,0.45,US,1702176575
167,strathmore,51.0501,-113.3852,-2.58,86,100,2.34,CA,1702176575
168,ballina,-28.8667,153.5667,29.32,59,1,5.01,AU,1702176575
169,villa gesell,-37.2639,-56.973,17.25,91,100,3.87,AR,1702176576
170,santa rosa de lima,13.6247,-87.8936,25.31,64,23,2.05,SV,1702176576
171,guerrero negro,27.9769,-114.0611,19.89,43,0,1.47,MX,1702176346
172,ornskoldsvik,63.2909,18.7153,-6.47,93,100,2.06,SE,1702176576
173,nova sintra,14.8667,-24.7167,22.53,71,69,4.27,CV,1702176300
174,ironwood,46.4547,-90.171,0.31,93,100,7.2,US,1702176576
175,tuy hoa,13.0833,109.3,26.6,74,55,0.37,VN,1702176576
176,bathsheba,13.2167,-59.5167,26.34,83,40,8.75,BB,1702176576
177,bardai,11.65,7.2333,17.02,17,78,3.36,NG,1702176576
178,musan-up,42.2261,129.2078,-4.5,23,16,3.52,KP,1702176576
179,bilibino,68.0546,166.4372,-18.99,100,98,0.82,RU,1702176293
180,remire-montjoly,4.9167,-52.2667,24.02,94,0,0.0,GF,1702176576
181,pisco,-13.7,-76.2167,20.03,77,100,2.57,PE,1702176359
182,qarazhal,48.0078,70.7903,-21.47,83,0,1.75,KZ,1702176577
183,shubarshi,48.5872,57.1869,-11.25,43,100,5.95,KZ,1702176577
184,ribeira brava,32.65,-17.0667,20.35,80,7,3.0,PT,1702176577
185,caleta de carquin,-11.0925,-77.6267,19.93,84,100,4.01,PE,1702176296
186,thompson,55.7435,-97.8558,-7.91,93,100,1.54,CA,1702176330
187,dolores,-36.3132,-57.6792,15.35,89,100,2.18,AR,1702176577
188,ust'-barguzin,53.45,108.9833,-18.56,96,100,2.5,RU,1702176577
189,kandahar,31.0,65.75,6.94,35,0,0.38,AF,1702176577
190,nabire,-3.3667,135.4833,26.27,88,100,1.07,ID,1702176375
191,kenai,60.5544,-151.2583,-6.59,99,100,2.57,US,1702176578
192,ilulissat,69.2167,-51.1,-4.99,74,100,4.12,GL,1702176286
193,holualoa,19.6228,-155.9522,25.83,76,20,4.12,US,1702176578
194,enewetak,11.3474,162.3373,27.55,79,10,8.21,MH,1702176317
195,lensk,60.7253,114.9278,-28.51,92,100,4.9,RU,1702176356
196,port macquarie,-31.4333,152.9167,28.27,60,0,6.72,AU,1702176386
197,urumqi,43.801,87.6005,-8.47,86,75,1.0,CN,1702176578
198,lompoc,34.6391,-120.4579,15.08,67,0,3.58,US,1702176295
199,cantanhede,-3.6333,-44.3767,24.12,91,96,2.14,BR,1702176578
200,iwanai,42.9744,140.5089,-1.22,65,100,7.83,JP,1702176578
201,lazaro cardenas,17.9583,-102.2,25.28,79,3,1.13,MX,1702176292
202,klyuchi,52.2667,79.1667,-21.0,77,48,1.67,RU,1702176330
203,gazli,40.1333,63.45,-2.1,44,55,6.47,UZ,1702176579
204,smithers,54.7804,-127.1743,-2.82,93,100,3.6,CA,1702176364
205,jumla,29.2747,82.1838,8.0,23,0,0.45,NP,1702176534
206,kristiansund,63.1115,7.732,1.36,64,75,1.54,NO,1702176579
207,edd,13.9297,41.6925,25.62,58,0,6.76,ER,1702176579
208,al hazm,16.1641,44.7769,13.67,31,2,0.99,YE,1702176331
209,georgetown,5.4112,100.3354,30.96,70,20,2.57,MY,1702176401
210,kandi,11.1342,2.9386,20.1,14,1,2.1,BJ,1702176580
211,weno,7.4515,151.8468,29.97,79,100,3.6,FM,1702176325
212,dryden,49.7833,-92.7503,-7.84,93,100,3.6,CA,1702176580
213,mana,5.6592,-53.7767,25.44,91,48,3.21,GF,1702176580
214,puerto ayora,-0.7393,-90.3518,24.19,96,35,2.24,EC,1702176297
215,bikenibeu village,1.3673,173.1241,30.98,74,75,2.57,KI,1702176388
216,fort mcmurray,56.7268,-111.381,-9.23,85,100,2.06,CA,1702176303
217,oriximina,-1.7656,-55.8661,26.24,81,100,0.77,BR,1702176580
218,howard springs,-12.497,131.047,34.93,75,22,1.1,AU,1702176580
219,namibe,-15.1961,12.1522,23.62,83,100,2.21,AO,1702176580
220,liman,48.9884,37.8023,-1.57,91,100,5.73,UA,1702176580
221,vadso,70.0744,29.7487,-11.91,85,100,8.75,NO,1702176328
222,teluk nibung,3.001,99.8164,26.88,85,100,1.57,ID,1702176580
223,kavaratti,10.5669,72.642,28.6,74,73,4.58,IN,1702176304
224,shiyan,32.6475,110.7781,6.2,82,100,4.69,CN,1702176430
225,legnica,51.2101,16.1619,1.69,94,100,6.24,PL,1702176581
226,diego de almagro,-26.3667,-70.05,19.37,49,0,0.56,CL,1702176581
227,quellon,-43.1167,-73.6167,11.66,85,100,2.89,CL,1702176307
228,agaete,28.1002,-15.7,18.77,76,4,3.65,ES,1702176581
229,bandon,51.7469,-8.7425,9.77,96,100,6.63,IE,1702176581
230,arsk,56.0915,49.8778,-27.83,99,42,3.22,RU,1702176581
231,namdrik,5.5994,168.1028,28.07,79,22,6.6,MH,1702176581
232,camenca,48.0319,28.6978,0.56,89,100,1.7,MD,1702176582
233,rajpipla,21.8667,73.5,22.25,57,0,1.98,IN,1702176582
234,nouadhibou,20.931,-17.0347,21.99,43,67,6.69,MR,1702176582
235,kapit,2.0167,112.9333,23.2,98,100,0.44,MY,1702176582
236,longyearbyen,78.2186,15.6401,-5.09,63,75,4.63,SJ,1702176262
237,las higueras,-33.0923,-64.289,16.34,88,0,2.06,AR,1702176583
238,howrah,22.5892,88.3103,19.0,82,3,1.54,IN,1702176327
239,bingerville,5.3584,-3.8869,26.52,89,20,2.06,CI,1702176583
240,tikrit,34.6071,43.6782,14.3,66,11,0.72,IQ,1702176583
241,sikonge,-5.6333,32.7667,17.55,92,88,1.15,TZ,1702176583
242,byron bay,-28.65,153.6167,29.28,58,13,4.38,AU,1702176376
243,port isabel,26.0734,-97.2086,23.92,91,0,2.06,US,1702176313
244,la passe,45.5549,-0.8967,11.1,90,100,3.68,FR,1702176327
245,venice,27.0998,-82.4543,22.21,87,99,0.89,US,1702176583
246,sao paulo de olivenca,-3.3783,-68.8725,24.04,95,100,0.66,BR,1702176583
247,kurchatov,51.6601,35.6521,-3.66,95,99,4.22,RU,1702176513
248,carutapera,-1.195,-46.02,26.61,81,93,3.18,BR,1702176584
249,mendoza,-32.8908,-68.8272,24.74,41,0,3.6,AR,1702176572
250,nagqu,31.5,92.0,-8.76,53,3,1.88,CN,1702176584
251,sao joao do paraiso,-15.3136,-42.0144,20.92,75,46,2.71,BR,1702176584
252,anloga,5.7947,0.8973,27.71,80,15,3.23,GH,1702176584
253,saint-philippe,-21.3585,55.7679,24.77,85,53,4.97,RE,1702176298
254,bamboo flat,11.7,92.7167,28.05,89,20,1.03,IN,1702176341
255,xinzhou,38.4092,112.7333,-0.57,62,100,1.99,CN,1702176584
256,ambalavao,-21.8333,46.9333,18.42,85,5,1.23,MG,1702176584
257,aras-asan,8.8908,126.3033,29.05,70,100,2.97,PH,1702176585
258,sola,-13.8833,167.55,26.69,76,100,8.12,VU,1702176585
259,nawabshah,26.2483,68.4096,19.0,30,2,1.29,PK,1702176585
260,zharkent,44.1628,80.0,-6.18,79,89,1.61,KZ,1702176585
261,puerto rosario,-24.45,-57.0833,25.58,83,71,2.02,PY,1702176585
262,barreiras,-12.1528,-44.99,25.59,52,98,0.64,BR,1702176585
263,san patricio,28.017,-97.5169,23.05,39,100,9.31,US,1702176357
264,kirkkonummi,60.1238,24.4385,-4.01,100,100,4.25,FI,1702176585
265,mount isa,-20.7333,139.5,37.87,28,40,5.14,AU,1702176585
266,novoishimskiy,53.1981,66.7694,-27.19,99,96,1.96,KZ,1702176585
267,castelnuovo del garda,45.4388,10.7598,4.34,98,75,2.06,IT,1702176585
268,dunedin,-45.8742,170.5036,14.14,54,97,5.88,NZ,1702176585
269,daru,-9.0763,143.2092,29.79,68,98,5.44,PG,1702176586
270,deqen,29.9618,90.7188,-3.58,69,3,1.76,CN,1702176586
271,kingman,35.1894,-114.053,7.71,18,0,5.66,US,1702176586
272,walvis bay,-22.9575,14.5053,15.61,94,0,3.09,NA,1702176384
273,fale old settlement,-9.3852,-171.2468,29.05,74,100,3.12,TK,1702176319
274,robertsport,6.7533,-11.3686,27.11,83,29,3.44,LR,1702176586
275,bolivar,37.6145,-93.4105,4.44,61,0,5.89,US,1702176586
276,kone,-21.0595,164.8658,29.33,40,99,4.5,NC,1702176317
277,lebu,-37.6167,-73.65,12.17,83,0,8.98,CL,1702176344
278,puerto baquerizo moreno,-0.9,-89.6,23.64,91,2,4.84,EC,1702176384
279,vung tau,10.346,107.0843,27.34,71,100,4.62,VN,1702176586
280,kargasok,59.0556,80.8572,-25.02,97,99,3.58,RU,1702176586
281,kapuskasing,49.4169,-82.4331,1.05,100,100,5.66,CA,1702176145
282,kodinsk,58.6881,99.1844,-29.76,99,81,0.87,RU,1702176586
283,kulunda,52.566,78.9385,-21.38,84,35,1.31,RU,1702176587
284,kudahuvadhoo,2.6708,72.8944,28.29,74,88,2.34,MV,1702176587
285,nemuro,43.3236,145.575,3.7,51,72,4.66,JP,1702176302
286,nantucket,41.2835,-70.0995,9.06,97,0,4.63,US,1702176587
287,ambovombe,-25.1667,46.0833,22.41,83,0,0.36,MG,1702176358
288,camana,-16.6228,-72.7111,19.81,82,97,1.85,PE,1702176338
289,taungoo,18.9333,96.4333,26.29,78,13,0.72,MM,1702176587
290,muntok,-2.0667,105.1833,28.8,73,100,2.25,ID,1702176587
291,malpica,43.3228,-8.8105,17.96,79,100,7.74,ES,1702176404
292,eenhana,-17.4667,16.3333,22.33,36,51,2.67,NA,1702176587
293,totness,5.8833,-56.3167,25.67,88,26,4.11,SR,1702176587
294,tanjung pandan,-2.75,107.65,26.56,84,100,3.15,ID,1702176587
295,chiang klang,19.2938,100.8617,28.57,64,7,0.86,TH,1702176587
296,huotong,26.8497,119.4181,23.93,52,16,0.86,CN,1702176587
